Index	Accuracy
0	0.7978
1	0.6517
2	0.7406
6	0.7809
8	0.6979
11	0.6318
13	0.6530
14	0.6579
15	0.6747
18	0.6933
19	0.6865
20	0.7177
21	0.7689
23	0.7368
24	0.6230
27	0.6662
28	0.8026
29	0.7414
30	0.6520
31	0.7555
33	0.6863
34	0.7360
35	0.6214
36	0.6892
37	0.7167
39	0.7086
40	0.6896
41	0.7009
44	0.7436
46	0.6667
47	0.6684
48	0.7339
49	0.6402
52	0.7873
53	0.6243
54	0.6923
55	0.6186
56	0.7588
58	0.6877
59	0.6006
60	0.6135
61	0.8456
62	0.6724
63	0.6892
64	0.6046
65	0.6006
66	0.6122
69	0.7288
71	0.6902
76	0.6720
77	0.6485
78	0.6406
79	0.7009
82	0.7234
83	0.6161
84	0.6219
87	0.7011
88	0.7366
89	0.7361
91	0.7585
92	0.6917
93	0.7163
94	0.7388
95	0.6637
98	0.7901
99	0.6850
100	0.6604
103	0.6774
106	0.6978
107	0.6433
108	0.6044
109	0.6780
110	0.7604
111	0.7599
112	0.7657
113	0.8037
115	0.6842
120	0.7834
121	0.6646
122	0.6463
123	0.7312
124	0.6089
125	0.6588
126	0.7184
127	0.6052
128	0.6115
129	0.6749
130	0.6702
131	0.6701
133	0.7960
134	0.6477
137	0.7144
138	0.6474
141	0.7336
143	0.7275
145	0.6238
146	0.6049
147	0.6337
148	0.6382
149	0.6212
150	0.7044
151	0.7470
152	0.7799
153	0.6312
154	0.7440
155	0.6971
158	0.8404
160	0.6181
161	0.8159
162	0.8175
166	0.7537
167	0.6951
171	0.6098
172	0.6880
173	0.7111
175	0.7138
176	0.7063
177	0.7566
178	0.7574
179	0.7177
180	0.6572
181	0.7092
183	0.7030
184	0.6255
185	0.6522
186	0.8093
187	0.6687
188	0.6822
189	0.7422
190	0.8025
191	0.7068
192	0.6747
193	0.6440
195	0.6901
197	0.6439
198	0.6797
199	0.7769
200	0.6572
202	0.7028
203	0.7348
204	0.6084
205	0.7027
206	0.7744
207	0.6199
209	0.6775
211	0.6827
212	0.7973
213	0.6954
215	0.7871
216	0.8751
217	0.7019
218	0.6447
219	0.6150
220	0.6298
221	0.6222
222	0.6467
224	0.6636
227	0.7863
228	0.6034
229	0.6423
231	0.7743
233	0.7374
234	0.8241
236	0.7303
239	0.7166
240	0.8062
241	0.7481
242	0.6333
243	0.7203
244	0.6782
246	0.7263
247	0.6199
248	0.6773
250	0.6845
252	0.7088
253	0.7261
257	0.6711
258	0.6168
261	0.7701
263	0.6638
265	0.6824
266	0.6693
267	0.6671
270	0.6656
271	0.6689
273	0.6154
274	0.6227
275	0.6776
277	0.7192
278	0.6919
279	0.6479
280	0.6555
281	0.6524
282	0.7078
283	0.6371
285	0.7508
286	0.6705
287	0.7087
288	0.6043
289	0.6698
290	0.7416
291	0.6499
292	0.7876
293	0.7854
294	0.7122
295	0.6206
296	0.7384
297	0.7364
301	0.6318
302	0.6892
303	0.8164
304	0.7330
308	0.7371
309	0.6304
310	0.7370
312	0.6276
313	0.7011
314	0.7057
315	0.7306
316	0.7694
317	0.6697
318	0.6609
319	0.6942
320	0.7291
321	0.7412
324	0.6974
325	0.6629
326	0.6172
327	0.6603
331	0.6289
332	0.7823
333	0.6416
334	0.7058
336	0.7439
337	0.7062
338	0.6301
339	0.6225
340	0.7307
342	0.8343
343	0.7172
344	0.7798
347	0.7124
350	0.7375
352	0.6618
353	0.6820
354	0.7709
355	0.6623
357	0.7754
359	0.6824
360	0.6898
363	0.7056
364	0.7318
365	0.6962
