Index	Accuracy
3	0.5748
4	0.4695
5	0.5468
7	0.5847
9	0.5454
10	0.5284
12	0.4155
16	0.5377
17	0.5450
22	0.5924
25	0.5452
26	0.5119
32	0.4826
38	0.4687
42	0.4894
43	0.4870
45	0.5614
50	0.5896
51	0.5140
57	0.5943
67	0.5259
68	0.5831
70	0.5642
72	0.3593
73	0.5863
74	0.5830
75	0.5265
80	0.5831
81	0.5109
85	0.5064
86	0.4828
90	0.3873
96	0.5124
97	0.4686
101	0.5603
102	0.5679
104	0.5359
105	0.5969
114	0.5016
116	0.5132
117	0.5987
118	0.5699
119	0.5737
132	0.5618
135	0.5991
136	0.5983
139	0.4016
140	0.5055
142	0.5015
144	0.5809
156	0.4870
157	0.4741
159	0.5813
163	0.1855
164	0.5957
165	0.5116
168	0.5330
169	0.5547
170	0.5363
174	0.4225
182	0.5345
194	0.5926
196	0.5861
201	0.5666
208	0.5409
210	0.5454
214	0.5715
223	0.5930
225	0.5240
226	0.5477
230	0.5500
232	0.5773
235	0.4697
237	0.3967
238	0.2623
245	0.5748
249	0.4693
251	0.5893
254	0.5655
255	0.5501
256	0.5991
259	0.5596
260	0.3918
262	0.5686
264	0.5964
268	0.5944
269	0.4671
272	0.3160
276	0.5651
284	0.5556
298	0.4982
299	0.4944
300	0.5204
305	0.5008
306	0.5801
307	0.5471
311	0.5507
322	0.5865
323	0.5088
328	0.3144
329	0.5651
330	0.5536
335	0.5634
341	0.5351
345	0.4142
346	0.5948
348	0.4976
349	0.5754
351	0.4655
356	0.4981
358	0.5324
361	0.5643
362	0.5672
371	0.5849
377	0.5818
383	0.5280
386	0.5293
387	0.4982
388	0.5797
389	0.4340
392	0.5682
394	0.5591
398	0.5647
400	0.5992
402	0.5331
403	0.5230
407	0.4939
408	0.5928
416	0.5784
419	0.3580
422	0.5845
427	0.5798
431	0.5602
433	0.5622
445	0.4528
447	0.5826
449	0.5462
452	0.5715
454	0.3912
455	0.5935
458	0.5599
459	0.4528
460	0.5933
462	0.4753
467	0.5476
468	0.5907
476	0.5329
480	0.5778
484	0.5102
485	0.5667
500	0.5014
502	0.5367
508	0.5891
512	0.5890
516	0.5218
517	0.5747
519	0.5277
528	0.5908
532	0.5379
537	0.5192
543	0.2028
546	0.5670
549	0.5566
551	0.5615
556	0.5566
558	0.5946
561	0.5646
563	0.5775
567	0.5746
572	0.4897
576	0.4861
577	0.2536
581	0.4364
582	0.5936
584	0.5621
587	0.5707
589	0.5960
590	0.5619
594	0.5804
595	0.5738
604	0.5891
605	0.5568
612	0.5094
