Index	Accuracy
0	0.9340
1	0.9780
5	0.9310
6	0.9640
7	0.9650
8	0.9410
14	0.9270
15	0.9390
17	0.9770
18	0.9430
19	0.9490
20	0.9670
21	0.9690
23	0.9150
24	0.9300
25	0.9160
27	0.9350
28	0.9580
30	0.9110
31	0.9140
34	0.9270
35	0.9250
36	0.9440
37	0.9430
38	0.9230
39	0.9790
42	0.9640
44	0.9650
45	0.9070
46	0.9870
47	0.9210
48	0.9800
52	0.9190
53	0.9660
56	0.9370
57	0.9770
62	0.9500
63	0.9700
64	0.9320
65	0.9620
66	0.9750
67	0.9080
68	0.9440
69	0.9020
70	0.9450
71	0.9040
72	0.9550
73	0.9160
76	0.9250
83	0.9490
84	0.9480
86	0.9700
87	0.9560
89	0.9220
91	0.9520
92	0.9310
94	0.9070
98	0.9300
99	0.9120
100	0.9240
101	0.9220
102	0.9500
103	0.9150
107	0.9480
108	0.9230
111	0.9770
112	0.9590
113	0.9770
115	0.9320
117	0.9490
118	0.9310
120	0.9410
125	0.9440
126	0.9260
129	0.9680
130	0.9410
131	0.9320
133	0.9500
137	0.9590
138	0.9390
141	0.9460
145	0.9520
147	0.9420
148	0.9250
150	0.9150
151	0.9280
152	0.9120
154	0.9390
158	0.9820
159	0.9410
161	0.9400
162	0.9540
166	0.9570
167	0.9380
169	0.9360
170	0.9180
172	0.9700
173	0.9380
176	0.9370
178	0.9240
179	0.9650
181	0.9230
182	0.9280
183	0.9530
184	0.9530
185	0.9860
187	0.9280
188	0.9240
189	0.9600
191	0.9500
194	0.9550
195	0.9450
196	0.9240
197	0.9320
199	0.9100
201	0.9590
204	0.9700
205	0.9420
207	0.9670
209	0.9270
210	0.9400
213	0.9130
215	0.9750
216	0.9020
219	0.9700
220	0.9450
221	0.9070
222	0.9150
224	0.9570
229	0.9110
230	0.9670
231	0.9390
233	0.9370
236	0.9320
239	0.9390
241	0.9440
242	0.9030
243	0.9580
244	0.9330
245	0.9220
246	0.9560
248	0.9040
250	0.9730
252	0.9190
253	0.9770
257	0.9080
258	0.9750
261	0.9390
262	0.9720
263	0.9740
264	0.9630
265	0.9600
266	0.9500
267	0.9870
270	0.9590
271	0.9580
273	0.9010
275	0.9670
276	0.9100
277	0.9540
278	0.9230
280	0.9440
281	0.9780
282	0.9520
285	0.9750
286	0.9620
287	0.9380
288	0.9120
289	0.9270
290	0.9540
291	0.9260
293	0.9260
294	0.9550
296	0.9660
297	0.9800
298	0.9340
300	0.9470
301	0.9710
302	0.9490
303	0.9290
306	0.9150
307	0.9620
309	0.9390
313	0.9630
314	0.9580
315	0.9300
316	0.9050
317	0.9110
318	0.9950
319	0.9170
320	0.9650
321	0.9640
324	0.9490
325	0.9520
329	0.9390
333	0.9320
334	0.9330
337	0.9230
338	0.9340
339	0.9300
340	0.9720
341	0.9390
345	0.9550
346	0.9280
347	0.9240
348	0.9020
349	0.9530
350	0.9400
353	0.9510
357	0.9480
359	0.9780
360	0.9350
362	0.9140
363	0.9300
367	0.9660
368	0.9330
369	0.9050
372	0.9360
373	0.9630
375	0.9890
377	0.9200
379	0.9730
381	0.9570
382	0.9430
384	0.9190
393	0.9510
394	0.9560
395	0.9260
396	0.9230
397	0.9740
401	0.9450
403	0.9300
404	0.9490
409	0.9400
410	0.9870
411	0.9330
412	0.9770
413	0.9610
418	0.9240
422	0.9630
423	0.9730
424	0.9680
425	0.9460
428	0.9480
430	0.9780
431	0.9630
433	0.9420
434	0.9860
436	0.9400
437	0.9490
438	0.9780
439	0.9390
440	0.9480
441	0.9400
442	0.9160
443	0.9100
444	0.9400
446	0.9650
449	0.9040
451	0.9300
453	0.9170
455	0.9200
456	0.9440
457	0.9270
459	0.9620
460	0.9640
461	0.9480
462	0.9760
463	0.9150
464	0.9630
465	0.9660
466	0.9280
469	0.9240
471	0.9990
472	0.9680
474	0.9230
475	0.9020
478	0.9810
480	0.9850
481	0.9340
482	0.9070
483	0.9500
485	0.9150
486	0.9810
488	0.9860
489	0.9070
490	0.9960
492	0.9430
493	0.9180
497	0.9430
498	0.9110
499	0.9680
503	0.9140
505	0.9450
507	0.9110
508	0.9790
509	0.9530
511	0.9560
512	0.9480
513	0.9330
515	0.9090
516	0.9340
517	0.9050
521	0.9140
525	0.9550
526	0.9530
527	0.9480
528	0.9290
529	0.9530
532	0.9440
533	0.9550
534	0.9300
535	0.9900
537	0.9310
539	0.9470
540	0.9450
542	0.9310
544	0.9750
545	0.9480
547	0.9520
550	0.9570
551	0.9090
552	0.9520
553	0.9150
554	0.9400
558	0.9160
559	0.9470
560	0.9630
561	0.9160
562	0.9850
563	0.9310
565	0.9810
566	0.9670
568	0.9490
569	0.9670
570	0.9550
571	0.9070
575	0.9110
579	0.9290
580	0.9230
582	0.9540
584	0.9590
585	0.9600
586	0.9450
588	0.9670
589	0.9300
591	0.9770
592	0.9660
593	0.9360
594	0.9330
597	0.9560
598	0.9610
599	0.9770
600	0.9240
601	0.9100
602	0.9120
604	0.9310
606	0.9360
608	0.9380
612	0.9510
613	0.9630
614	0.9180
616	0.9770
