Index	Accuracy
0	0.9228
1	0.9767
5	0.9228
6	0.9565
7	0.9316
8	0.9408
14	0.9294
15	0.9463
16	0.9005
17	0.9592
18	0.9387
19	0.9556
20	0.9503
21	0.9524
23	0.9106
24	0.9065
27	0.9366
28	0.9605
30	0.9091
34	0.9131
35	0.9060
36	0.9415
37	0.9401
38	0.9099
39	0.9620
42	0.9775
44	0.9523
46	0.9732
47	0.9322
48	0.9783
52	0.9031
53	0.9693
56	0.9475
57	0.9642
62	0.9469
63	0.9606
64	0.9140
65	0.9747
66	0.9823
68	0.9417
69	0.9071
70	0.9315
71	0.9078
72	0.9660
73	0.9265
76	0.9044
83	0.9404
84	0.9399
86	0.9658
87	0.9556
89	0.9183
91	0.9476
92	0.9205
94	0.9063
98	0.9296
99	0.9209
100	0.9303
102	0.9217
107	0.9514
108	0.9130
110	0.9340
111	0.9803
112	0.9352
113	0.9717
115	0.9284
117	0.9317
118	0.9081
120	0.9483
125	0.9414
126	0.9311
129	0.9479
130	0.9400
131	0.9367
133	0.9302
137	0.9314
138	0.9486
140	0.9038
141	0.9406
145	0.9510
147	0.9509
148	0.9333
150	0.9149
151	0.9270
152	0.9145
154	0.9494
158	0.9641
161	0.9425
162	0.9570
166	0.9556
167	0.9352
169	0.9489
170	0.9271
172	0.9704
173	0.9286
175	0.9088
176	0.9786
178	0.9376
179	0.9607
181	0.9114
182	0.9163
183	0.9635
184	0.9507
185	0.9815
187	0.9350
188	0.9258
189	0.9497
191	0.9564
194	0.9417
195	0.9512
196	0.9306
197	0.9351
199	0.9315
201	0.9194
203	0.9018
204	0.9701
205	0.9435
207	0.9624
209	0.9215
210	0.9347
212	0.9056
213	0.9023
215	0.9655
216	0.9263
219	0.9576
220	0.9392
222	0.9169
224	0.9356
228	0.9112
229	0.9049
230	0.9387
231	0.9394
233	0.9395
236	0.9298
239	0.9371
241	0.9568
242	0.9152
243	0.9493
244	0.9276
246	0.9334
248	0.9072
250	0.9570
253	0.9721
254	0.9042
257	0.9004
258	0.9248
261	0.9368
262	0.9433
263	0.9687
264	0.9603
265	0.9618
266	0.9351
267	0.9825
270	0.9482
271	0.9400
275	0.9610
277	0.9493
278	0.9188
280	0.9410
281	0.9643
282	0.9540
285	0.9795
286	0.9595
287	0.9423
289	0.9359
290	0.9530
291	0.9227
293	0.9183
294	0.9564
296	0.9473
297	0.9792
298	0.9115
300	0.9344
301	0.9542
302	0.9365
303	0.9294
306	0.9102
307	0.9527
309	0.9264
310	0.9024
313	0.9702
314	0.9481
315	0.9321
317	0.9041
318	0.9922
319	0.9242
320	0.9559
321	0.9498
324	0.9498
325	0.9516
329	0.9401
333	0.9324
334	0.9212
337	0.9291
338	0.9347
339	0.9302
340	0.9723
341	0.9362
345	0.9418
346	0.9225
347	0.9263
349	0.9588
350	0.9290
353	0.9398
357	0.9334
359	0.9624
360	0.9160
362	0.9201
363	0.9360
367	0.9691
368	0.9222
372	0.9207
373	0.9500
375	0.9738
376	0.9109
379	0.9376
381	0.9521
382	0.9812
384	0.9282
385	0.9089
390	0.9019
393	0.9065
394	0.9341
395	0.9186
396	0.9236
397	0.9753
401	0.9422
403	0.9278
404	0.9201
409	0.9416
410	0.9828
411	0.9164
412	0.9709
413	0.9560
418	0.9239
422	0.9294
423	0.9716
424	0.9639
425	0.9573
428	0.9555
430	0.9651
431	0.9511
433	0.9413
434	0.9884
436	0.9563
437	0.9359
438	0.9592
439	0.9392
440	0.9363
441	0.9394
443	0.9411
444	0.9414
446	0.9516
449	0.9265
451	0.9231
456	0.9396
457	0.9158
459	0.9527
460	0.9698
461	0.9524
462	0.9924
463	0.9164
464	0.9633
465	0.9612
469	0.9262
471	0.9927
472	0.9554
474	0.9264
477	0.9035
478	0.9718
479	0.9104
480	0.9837
481	0.9363
483	0.9502
485	0.9078
486	0.9674
488	0.9854
490	0.9920
492	0.9346
493	0.9131
497	0.9494
498	0.9102
499	0.9632
503	0.9113
505	0.9549
507	0.9191
508	0.9808
509	0.9530
511	0.9414
512	0.9575
515	0.9076
516	0.9648
521	0.9303
523	0.9183
524	0.9046
525	0.9563
526	0.9553
527	0.9427
528	0.9288
529	0.9370
532	0.9299
533	0.9524
534	0.9274
535	0.9828
537	0.9386
539	0.9391
540	0.9551
542	0.9110
544	0.9705
545	0.9450
547	0.9579
550	0.9472
551	0.9199
552	0.9365
553	0.9275
554	0.9403
558	0.9147
559	0.9316
560	0.9669
561	0.9065
562	0.9774
563	0.9303
565	0.9602
566	0.9644
568	0.9479
569	0.9615
570	0.9631
571	0.9057
579	0.9282
580	0.9110
582	0.9312
584	0.9389
585	0.9492
586	0.9416
588	0.9642
589	0.9156
591	0.9753
592	0.9521
593	0.9274
594	0.9235
597	0.9642
598	0.9663
599	0.9555
600	0.9499
602	0.9152
604	0.9161
606	0.9294
608	0.9067
609	0.9049
612	0.9393
613	0.9671
614	0.9019
616	0.9764
